model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
rf,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.548,0.153,0.5,0.134,0.042,0.155,0.89,1.2e-05,10,1,,,,
svc,k-means,0.6,0.493,0.493,0.6,0.122,0.196,0.196,0.122,6.741,0.002,0.53,0.518,0.795,0.852,0.5,2e-06,10,1,,,,
logreg,k-means,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,6.96,0.01,0.803,0.725,0.834,0.815,0.877,0.0,10,1,,,,
mlp,k-means,0.4,0.373,0.373,0.4,0.3,0.303,0.303,0.3,3.927,0.054,0.792,0.735,0.846,0.832,0.864,5.8e-05,10,1,,,,
xgb,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,5.586,0.048,0.684,0.494,0.578,0.523,0.854,1.8e-05,10,1,,,,
rf,ag,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,14.533,0.255,0.651,0.42,0.471,0.429,0.841,1.6e-05,10,1,,,,
svc,ag,0.6,0.493,0.493,0.6,0.122,0.196,0.196,0.122,6.874,0.001,0.515,0.489,0.785,0.849,0.107,5e-06,10,1,,,,
logreg,ag,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,2.729,0.011,0.77,0.693,0.812,0.789,0.85,0.0,10,1,,,,
mlp,ag,0.45,0.407,0.407,0.45,0.1,0.122,0.122,0.1,6.255,0.798,0.756,0.705,0.827,0.812,0.841,6.7e-05,10,1,,,,
xgb,k_center,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,7.369,0.027,0.814,0.794,0.888,0.885,0.807,1.7e-05,10,1,,,,
rf,k_center,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,17.71,0.381,0.547,0.271,0.259,0.271,0.838,2.4e-05,10,1,,,,
svc,k_center,0.5,0.44,0.44,0.5,0.224,0.244,0.244,0.224,6.755,0.001,0.5,0.135,0.043,0.156,0.346,5e-06,10,1,,,,
logreg,k_center,0.5,0.473,0.473,0.5,0.224,0.239,0.239,0.224,6.928,0.008,0.493,0.134,0.044,0.154,0.477,1e-06,10,1,,,,
mlp,k_center,0.35,0.307,0.307,0.35,0.2,0.19,0.19,0.2,6.009,1.368,0.572,0.349,0.384,0.353,0.692,4.6e-05,10,1,,,,
xgb,craig,,,,,,,,,3.304,0.04,0.5,0.458,0.774,0.845,0.5,2.1e-05,10,1,,,,
rf,craig,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,14.151,0.247,0.5,0.458,0.774,0.845,0.706,1.8e-05,10,1,,,,
svc,craig,,,,,,,,,6.74,0.002,0.5,0.458,0.774,0.845,0.347,2e-06,10,1,,,,
logreg,craig,,,,,,,,,6.956,0.008,0.499,0.458,0.773,0.843,0.572,0.0,10,1,,,,
mlp,craig,0.8,0.733,0.8,0.8,0.245,0.327,0.267,0.245,7.277,0.687,0.506,0.473,0.779,0.845,0.636,1.2e-05,10,1,,,,
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.791,0.035,0.487,0.132,0.042,0.152,0.302,1.9e-05,10,1,,,,
rf,lc,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,16.875,0.471,0.336,0.315,0.448,0.369,0.272,3.9e-05,10,1,,,,
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.825,0.001,0.349,0.186,0.188,0.186,0.223,4e-06,10,1,,,,
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.975,0.006,0.448,0.127,0.047,0.143,0.107,1e-06,10,1,,,,
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.784,0.907,0.277,0.17,0.192,0.171,0.167,5.9e-05,10,1,,,,
xgb,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.578,0.034,0.833,0.789,0.881,0.873,0.85,1.8e-05,10,2,,,,
rf,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,13.925,0.268,0.743,0.605,0.716,0.671,0.837,1.8e-05,10,2,,,,
svc,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.775,0.002,0.792,0.739,0.849,0.836,0.866,4e-06,10,2,,,,
logreg,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.209,0.006,0.782,0.709,0.824,0.805,0.858,1e-06,10,2,,,,
mlp,random,0.9,0.9,0.9,0.9,0.2,0.2,0.2,0.2,7.742,0.02,0.727,0.623,0.747,0.708,0.795,7.1e-05,10,2,,,,
xgb,k-means,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,6.563,0.078,0.817,0.809,0.898,0.897,0.847,1.7e-05,10,2,,,,
rf,k-means,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,13.173,0.179,0.5,0.134,0.042,0.155,0.86,1.3e-05,10,2,,,,
svc,k-means,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,6.641,0.001,0.719,0.719,0.853,0.853,0.139,2e-06,10,2,,,,
logreg,k-means,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,6.735,0.005,0.759,0.748,0.866,0.863,0.873,1e-06,10,2,,,,
mlp,k-means,0.6,0.547,0.547,0.6,0.2,0.232,0.232,0.2,7.738,0.021,0.766,0.689,0.808,0.785,0.837,3e-05,10,2,,,,
xgb,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,4.313,0.032,0.724,0.544,0.638,0.585,0.861,4e-06,10,2,,,,
rf,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,13.162,0.217,0.648,0.415,0.464,0.423,0.828,1.6e-05,10,2,,,,
svc,ag,0.55,0.447,0.447,0.55,0.1,0.157,0.157,0.1,6.791,0.001,0.52,0.499,0.789,0.851,0.109,3e-06,10,2,,,,
logreg,ag,0.6,0.547,0.547,0.6,0.2,0.232,0.232,0.2,7.22,0.013,0.778,0.712,0.828,0.809,0.863,0.0,10,2,,,,
mlp,ag,0.4,0.353,0.353,0.4,0.255,0.251,0.251,0.255,5.197,0.017,0.766,0.691,0.811,0.788,0.845,6.1e-05,10,2,,,,
xgb,k_center,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,7.191,0.048,0.554,0.363,0.416,0.372,0.732,1.7e-05,10,2,,,,
rf,k_center,0.55,0.533,0.533,0.55,0.187,0.197,0.197,0.187,15.277,0.256,0.482,0.179,0.125,0.187,0.654,2e-05,10,2,,,,
svc,k_center,0.6,0.547,0.547,0.6,0.2,0.232,0.232,0.2,3.022,0.002,0.5,0.135,0.043,0.156,0.518,3e-06,10,2,,,,
logreg,k_center,0.6,0.553,0.553,0.6,0.255,0.286,0.286,0.255,6.296,0.039,0.48,0.136,0.051,0.153,0.485,1e-06,10,2,,,,
mlp,k_center,0.5,0.473,0.473,0.5,0.224,0.239,0.239,0.224,6.604,0.035,0.526,0.346,0.397,0.354,0.555,3.6e-05,10,2,,,,
xgb,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,4.138,0.035,0.5,0.458,0.774,0.845,0.5,1.4e-05,10,2,,,,
rf,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,14.093,0.252,0.5,0.458,0.774,0.845,0.5,1.3e-05,10,2,,,,
svc,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,6.859,0.002,0.5,0.458,0.774,0.845,0.65,2e-06,10,2,,,,
logreg,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,2.771,0.006,0.5,0.458,0.774,0.845,0.499,0.0,10,2,,,,
mlp,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,7.282,1.357,0.537,0.536,0.753,0.749,0.609,2.1e-05,10,2,,,,
xgb,lc,0.9,0.9,0.9,0.9,0.2,0.2,0.2,0.2,5.145,0.042,0.487,0.132,0.042,0.152,0.349,2e-06,10,2,,,,
rf,lc,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,13.499,0.257,0.324,0.292,0.406,0.33,0.272,1.7e-05,10,2,,,,
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.714,0.001,0.438,0.127,0.05,0.141,0.106,2e-06,10,2,,,,
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.861,0.006,0.448,0.127,0.047,0.143,0.107,1e-06,10,2,,,,
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.149,0.032,0.272,0.159,0.174,0.16,0.167,8.4e-05,10,2,,,,
xgb,random,0.6,0.587,0.587,0.6,0.3,0.293,0.293,0.3,7.679,0.031,0.73,0.582,0.69,0.641,0.807,1.7e-05,10,3,,,,
rf,random,0.65,0.627,0.627,0.65,0.2,0.213,0.213,0.2,14.331,0.196,0.745,0.649,0.771,0.738,0.816,1.4e-05,10,3,,,,
svc,random,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,6.841,0.001,0.709,0.634,0.768,0.736,0.779,4e-06,10,3,,,,
logreg,random,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,6.901,0.008,0.734,0.643,0.768,0.735,0.803,1e-06,10,3,,,,
mlp,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,7.417,1.606,0.698,0.599,0.727,0.685,0.769,2.6e-05,10,3,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.568,0.026,0.787,0.662,0.772,0.737,0.878,1.7e-05,10,3,,,,
rf,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.617,0.431,0.5,0.134,0.042,0.155,0.833,3.1e-05,10,3,,,,
svc,k-means,0.5,0.42,0.42,0.5,0.158,0.183,0.183,0.158,6.82,0.002,0.532,0.522,0.796,0.852,0.5,3e-06,10,3,,,,
logreg,k-means,0.75,0.733,0.733,0.75,0.274,0.292,0.292,0.274,6.855,0.012,0.803,0.726,0.834,0.816,0.869,1e-06,10,3,,,,
mlp,k-means,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,6.435,0.055,0.771,0.716,0.834,0.819,0.849,4.7e-05,10,3,,,,
xgb,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,4.19,12.082,0.658,0.434,0.492,0.447,0.838,1.1e-05,10,3,,,,
rf,ag,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,14.65,0.334,0.714,0.522,0.609,0.556,0.832,2.1e-05,10,3,,,,
svc,ag,0.55,0.447,0.447,0.55,0.1,0.157,0.157,0.1,7.02,0.001,0.678,0.705,0.856,0.868,0.5,5e-06,10,3,,,,
logreg,ag,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,7.069,0.011,0.772,0.696,0.814,0.792,0.851,1e-06,10,3,,,,
mlp,ag,0.5,0.46,0.46,0.5,0.274,0.275,0.275,0.274,7.635,0.058,0.777,0.696,0.812,0.789,0.834,5.9e-05,10,3,,,,
xgb,k_center,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,7.316,0.031,0.755,0.654,0.774,0.741,0.783,1.8e-05,10,3,,,,
rf,k_center,0.45,0.34,0.34,0.45,0.1,0.095,0.095,0.1,15.167,0.336,0.539,0.293,0.301,0.294,0.765,2.1e-05,10,3,,,,
svc,k_center,0.5,0.42,0.42,0.5,0.158,0.183,0.183,0.158,6.896,0.002,0.5,0.135,0.043,0.156,0.414,5e-06,10,3,,,,
logreg,k_center,0.5,0.473,0.473,0.5,0.224,0.239,0.239,0.224,6.979,0.012,0.537,0.22,0.177,0.225,0.53,0.0,10,3,,,,
mlp,k_center,0.3,0.247,0.247,0.3,0.187,0.165,0.165,0.187,5.841,0.027,0.558,0.292,0.292,0.292,0.635,5e-05,10,3,,,,
xgb,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,4.13,0.02,0.5,0.458,0.774,0.845,0.5,1.3e-05,10,3,,,,
rf,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,13.196,0.303,0.5,0.458,0.774,0.845,0.5,1.8e-05,10,3,,,,
svc,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,6.947,0.002,0.5,0.458,0.774,0.845,0.373,2e-06,10,3,,,,
logreg,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,6.334,0.005,0.5,0.458,0.774,0.845,0.544,0.0,10,3,,,,
mlp,craig,0.4,0.333,0.4,0.4,0.374,0.365,0.389,0.374,4.254,0.05,0.602,0.618,0.816,0.833,0.672,5.4e-05,10,3,,,,
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.953,0.025,0.333,0.258,0.332,0.273,0.273,1.7e-05,10,3,,,,
rf,lc,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,15.211,0.343,0.335,0.317,0.453,0.374,0.278,2.2e-05,10,3,,,,
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.83,0.001,0.372,0.169,0.149,0.17,0.214,4e-06,10,3,,,,
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.341,0.006,0.445,0.127,0.047,0.142,0.104,0.0,10,3,,,,
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.222,1.442,0.301,0.192,0.222,0.195,0.181,1.6e-05,10,3,,,,
xgb,random,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,7.546,0.032,0.655,0.61,0.764,0.738,0.751,1e-05,10,4,,,,
rf,random,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,15.969,0.354,0.667,0.622,0.773,0.749,0.767,2.2e-05,10,4,,,,
svc,random,0.7,0.653,0.653,0.7,0.292,0.333,0.333,0.292,6.758,0.001,0.617,0.42,0.485,0.436,0.321,3e-06,10,4,,,,
logreg,random,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,7.031,0.006,0.694,0.659,0.804,0.789,0.766,1e-06,10,4,,,,
mlp,random,0.6,0.573,0.573,0.6,0.3,0.32,0.32,0.3,5.827,0.631,0.674,0.61,0.753,0.72,0.763,3.4e-05,10,4,,,,
xgb,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.664,0.02,0.807,0.805,0.897,0.897,0.859,2e-06,10,4,,,,
rf,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.879,0.364,0.5,0.134,0.042,0.155,0.873,2.1e-05,10,4,,,,
svc,k-means,0.6,0.56,0.56,0.6,0.122,0.154,0.154,0.122,4.949,0.001,0.806,0.755,0.859,0.848,0.878,3e-06,10,4,,,,
logreg,k-means,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,6.978,0.009,0.814,0.758,0.86,0.848,0.885,0.0,10,4,,,,
mlp,k-means,0.45,0.373,0.373,0.45,0.1,0.114,0.114,0.1,6.92,0.023,0.744,0.717,0.843,0.835,0.843,4.1e-05,10,4,,,,
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.04,0.082,0.813,0.8,0.893,0.891,0.864,2e-05,10,4,,,,
rf,ag,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,13.637,0.202,0.685,0.475,0.548,0.496,0.838,1.4e-05,10,4,,,,
svc,ag,0.6,0.587,0.587,0.6,0.255,0.267,0.267,0.255,6.823,0.001,0.792,0.733,0.844,0.83,0.868,3e-06,10,4,,,,
logreg,ag,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,6.956,0.029,0.773,0.697,0.815,0.793,0.851,0.0,10,4,,,,
mlp,ag,0.5,0.493,0.493,0.5,0.274,0.268,0.268,0.274,7.681,0.059,0.752,0.675,0.798,0.773,0.827,7.8e-05,10,4,,,,
xgb,k_center,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,4.28,0.1,0.83,0.789,0.882,0.875,0.809,1.7e-05,10,4,,,,
rf,k_center,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,13.05,0.151,0.509,0.179,0.115,0.189,0.748,1.1e-05,10,4,,,,
svc,k_center,0.6,0.527,0.527,0.6,0.122,0.179,0.179,0.122,6.673,0.002,0.5,0.135,0.043,0.156,0.286,5e-06,10,4,,,,
logreg,k_center,0.45,0.407,0.407,0.45,0.1,0.122,0.122,0.1,3.846,0.004,0.493,0.134,0.044,0.154,0.502,0.0,10,4,,,,
mlp,k_center,0.35,0.32,0.32,0.35,0.122,0.147,0.147,0.122,7.087,0.034,0.594,0.375,0.42,0.382,0.668,5.5e-05,10,4,,,,
xgb,craig,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,3.567,0.04,0.5,0.458,0.774,0.845,0.836,5e-06,10,4,,,,
rf,craig,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,13.935,0.454,0.5,0.458,0.774,0.845,0.5,2.4e-05,10,4,,,,
svc,craig,0.7,0.6,0.667,0.7,0.245,0.327,0.298,0.245,2.486,0.001,0.505,0.478,0.776,0.835,0.663,3e-06,10,4,,,,
logreg,craig,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,6.975,0.009,0.499,0.458,0.773,0.843,0.507,2e-06,10,4,,,,
mlp,craig,0.6,0.467,0.533,0.6,0.2,0.267,0.267,0.2,7.283,0.68,0.583,0.581,0.778,0.776,0.684,4.3e-05,10,4,,,,
xgb,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,3.584,0.053,0.358,0.32,0.442,0.366,0.312,1.6e-05,10,4,,,,
rf,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,16.532,0.414,0.323,0.293,0.409,0.333,0.252,2.4e-05,10,4,,,,
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.776,0.002,0.421,0.133,0.066,0.144,0.129,3e-06,10,4,,,,
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.904,0.009,0.438,0.127,0.05,0.141,0.1,0.0,10,4,,,,
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.771,0.029,0.268,0.139,0.137,0.139,0.145,7.5e-05,10,4,,,,
xgb,random,0.9,0.896,0.896,0.9,0.094,0.099,0.099,0.094,7.707,0.092,0.821,0.762,0.862,0.85,0.878,7e-06,20,0,,,,
rf,random,0.85,0.837,0.837,0.85,0.122,0.145,0.145,0.122,17.243,0.4,0.795,0.726,0.836,0.819,0.87,2.4e-05,20,0,,,,
svc,random,0.75,0.736,0.736,0.75,0.137,0.148,0.148,0.137,6.847,0.002,0.767,0.727,0.845,0.834,0.83,6e-06,20,0,,,,
logreg,random,0.825,0.817,0.817,0.825,0.17,0.182,0.182,0.17,5.412,0.007,0.751,0.696,0.821,0.804,0.826,1e-06,20,0,,,,
mlp,random,0.7,0.696,0.696,0.7,0.187,0.19,0.19,0.187,7.354,0.062,0.729,0.668,0.799,0.777,0.808,9.4e-05,20,0,,,,
xgb,k-means,0.95,0.95,0.95,0.95,0.1,0.1,0.1,0.1,6.068,0.015,0.812,0.801,0.894,0.892,0.878,1.2e-05,20,0,,,,
rf,k-means,0.975,0.975,0.975,0.975,0.05,0.051,0.051,0.05,15.558,0.318,0.502,0.139,0.05,0.159,0.87,1.9e-05,20,0,,,,
svc,k-means,0.65,0.641,0.641,0.65,0.094,0.087,0.087,0.094,6.362,0.003,0.825,0.779,0.875,0.867,0.9,6e-06,20,0,,,,
logreg,k-means,0.875,0.874,0.874,0.875,0.158,0.16,0.16,0.158,7.032,0.012,0.8,0.73,0.838,0.822,0.878,1e-06,20,0,,,,
mlp,k-means,0.55,0.54,0.54,0.55,0.127,0.133,0.133,0.127,8.315,0.065,0.792,0.715,0.827,0.807,0.853,6.2e-05,20,0,,,,
xgb,ag,0.925,0.921,0.921,0.925,0.1,0.106,0.106,0.1,4.864,0.014,0.825,0.801,0.892,0.888,0.887,4e-06,20,0,,,,
rf,ag,0.8,0.798,0.798,0.8,0.1,0.101,0.101,0.1,19.406,0.13,0.644,0.411,0.459,0.419,0.828,7e-06,20,0,,,,
svc,ag,0.65,0.635,0.635,0.65,0.146,0.159,0.159,0.146,6.924,0.003,0.759,0.752,0.869,0.867,0.886,6e-06,20,0,,,,
logreg,ag,0.8,0.797,0.797,0.8,0.1,0.102,0.102,0.1,7.148,0.016,0.619,0.566,0.723,0.685,0.697,1e-06,20,0,,,,
mlp,ag,0.5,0.472,0.472,0.5,0.079,0.064,0.064,0.079,8.303,0.845,0.74,0.696,0.825,0.81,0.824,3.8e-05,20,0,,,,
xgb,k_center,0.775,0.768,0.768,0.775,0.05,0.053,0.053,0.05,4.38,0.027,0.725,0.608,0.727,0.684,0.782,4e-06,20,0,,,,
rf,k_center,0.625,0.6,0.6,0.625,0.079,0.087,0.087,0.079,13.683,0.129,0.624,0.444,0.521,0.466,0.771,1.1e-05,20,0,,,,
svc,k_center,0.575,0.524,0.524,0.575,0.1,0.079,0.079,0.1,6.86,0.003,0.498,0.135,0.043,0.155,0.396,6e-06,20,0,,,,
logreg,k_center,0.575,0.56,0.56,0.575,0.15,0.149,0.149,0.15,7.139,0.006,0.492,0.138,0.051,0.157,0.465,1e-06,20,0,,,,
